master_person_id,preferred_entity_id,preferred_entity_type,lead_id,contact_id,email,normalized_email,account_id,first_name,last_name,title,job_persona,job_level,source_entity_types,has_lead_record,has_contact_record,is_connected_pair,broken_conversion_link_flag,duplicate_email_flag,shared_mailbox_flag,entity_resolution_confidence
MP00000000000001,00304hFwDMlichKFOw,Contact,,00304hFwDMlichKFOw,johnny.miller@schmidthansenandstewart.com,johnny.miller@schmidthansenandstewart.com,001xsyf348JkxisEdA,Johnny,Miller,,Security Operations,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000002,003066vjFToJgJanlr,Contact,,003066vjFToJgJanlr,aaron.mitchell@reid-poole.com,aaron.mitchell@reid-poole.com,0014d9n0Xv00kKXR4b,Aaron,Mitchell,SOC Analyst,,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000003,0030FQcnClntSEJMcx,Contact,00QgILs9VVRGc6tK3H,0030FQcnClntSEJMcx,antonio.simmons@yahoo.com,antonio.simmons@yahoo.com,0019enq522wjZRL9Oa,Antonio,Simmons,Security Operations Manager,Security Management,Manager,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000004,0030ggLW6ZcgN14jsB,Contact,,0030ggLW6ZcgN14jsB,jasmine.brown@cortezllc.com,jasmine.brown@cortezllc.com,00195e5bzVV8OA9x14,Jasmine,Brown,SOC Analyst,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000005,0030yMz1WMCCAMgOPb,Contact,,0030yMz1WMCCAMgOPb,karen.decker@bentleybyrdandorr.com,karen.decker@bentleybyrdandorr.com,001gcLRdTyon1dFrYT,Karen,Decker,,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000006,0030zNZuoHxIUwC7ac,Contact,,0030zNZuoHxIUwC7ac,yolanda.ferrell@henderson-bernard.com,yolanda.ferrell@henderson-bernard.com,001BovCzfAPxj5eZff,Yolanda,Ferrell,,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000007,0031Mo4iCppaX3QjBv,Contact,,0031Mo4iCppaX3QjBv,amanda.dudley@salazar-ball.com,amanda.dudley@salazar-ball.com,001AEeppMKmgs6uMXu,Amanda,Dudley,Senior SOC Analyst,Security Operations,C-Suite,Contact,False,True,False,False,False,False,1.0
MP00000000000008,0031Q8osUVtTLfB4zE,Contact,,0031Q8osUVtTLfB4zE,michele.jones@bentleybyrdandorr.com,michele.jones@bentleybyrdandorr.com,001gcLRdTyon1dFrYT,Michele,Jones,VP Security,Security Executive,,Contact,False,True,False,False,False,False,1.0
MP00000000000009,0031cb51JJRzhbuXMZ,Contact,"00QasnipuaUkxRFZXe,00QlX1djRigGweRPKu",0031cb51JJRzhbuXMZ,mitchell.clark@garciahumphreyandbaker.com,mitchell.clark@garciahumphreyandbaker.com,00150OXirZRiRBaepZ,Mitchell,Clark,Security Research Engineer,Non-Prospect,Director,"Lead,Contact",True,True,False,False,True,False,0.9
MP00000000000010,0031sNLjVHWGaub52Z,Contact,00QynZQEkmNRral4MT,0031sNLjVHWGaub52Z,abigail.king@garnerplc.com,abigail.king@garnerplc.com,001nipuaUkxRFZXe1c,Abigail,King,CISO,Security Executive,C-Suite,"Lead,Contact",True,True,True,True,True,False,0.9
