master_person_id,first_name,last_name,title,engagement_score,recency_score,profile_fit_score,account_score,readiness_score,score_percentile,priority_tier,readiness_band,score_breakdown_json,eligibility_status,structural_block_flag,top_positive_reasons,top_negative_reasons
MP00000000000001,Johnny,Miller,,0.0,0.0,13.83,5.01,18.84,21.94,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 13.83, ""account"": 5.01}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness","Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Data gap: missing title field"
MP00000000000002,Aaron,Mitchell,SOC Analyst,0.0,0.0,10.23,1.09,11.32,14.0,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 10.23, ""account"": 1.09}",Eligible,False,"High-tier buying authority (Director/C-Suite), High profile completeness",Zero response history (passive sends only)
MP00000000000003,Antonio,Simmons,Security Operations Manager,31.0,15.0,14.0,2.29,62.29,85.88,Warm,High,"{""engagement"": 31.0, ""recency"": 15.0, ""profile"": 14.0, ""account"": 2.29}",Eligible,False,"High interaction volume (3+ responses), Strong buying-committee activity at account, High profile completeness",Data quality risk: duplicate email address
MP00000000000004,Jasmine,Brown,SOC Analyst,26.33,20.0,5.43,8.37,60.13,83.43,Warm,High,"{""engagement"": 26.33, ""recency"": 20.0, ""profile"": 5.43, ""account"": 8.37}",Eligible,False,"High interaction volume (3+ responses), Strategic Named Account profile match, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000005,Karen,Decker,,7.0,25.0,4.86,6.52,43.38,55.66,Monitor,Medium,"{""engagement"": 7.0, ""recency"": 25.0, ""profile"": 4.86, ""account"": 6.52}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000006,Yolanda,Ferrell,,30.0,16.0,4.86,2.77,53.63,73.16,Monitor,Medium,"{""engagement"": 30.0, ""recency"": 16.0, ""profile"": 4.86, ""account"": 2.77}",Blocked,True,Attended premium Event campaign,"Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000007,Amanda,Dudley,Senior SOC Analyst,15.0,20.0,16.8,2.77,54.57,75.15,Monitor,Medium,"{""engagement"": 15.0, ""recency"": 20.0, ""profile"": 16.8, ""account"": 2.77}",Eligible,False,"Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account",None
MP00000000000008,Michele,Jones,VP Security,19.0,21.0,11.43,6.52,57.95,80.51,Monitor,Medium,"{""engagement"": 19.0, ""recency"": 21.0, ""profile"": 11.43, ""account"": 6.52}",Eligible,False,"Strong buying-committee activity at account, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000009,Mitchell,Clark,Security Research Engineer,11.33,23.0,9.6,5.01,48.94,66.04,Monitor,Medium,"{""engagement"": 11.33, ""recency"": 23.0, ""profile"": 9.6, ""account"": 5.01}",Blocked,True,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite)","High automation inflation (DQ-8: >70% sends), Data quality risk: duplicate email address"
MP00000000000010,Abigail,King,CISO,25.0,12.0,20.0,3.11,60.11,83.31,Warm,High,"{""engagement"": 25.0, ""recency"": 12.0, ""profile"": 20.0, ""account"": 3.11}",Eligible,False,"Attended premium Event campaign, High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account",Data quality risk: duplicate email address
MP00000000000011,Daniel,Johnson,Threat Analyst,0.0,0.0,7.43,0.27,7.7,7.47,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 7.43, ""account"": 0.27}",Eligible,False,High profile completeness,Zero response history (passive sends only)
MP00000000000012,Dana,Green,Cybersecurity Manager,5.0,16.0,18.0,1.36,40.36,49.01,Monitor,Medium,"{""engagement"": 5.0, ""recency"": 16.0, ""profile"": 18.0, ""account"": 1.36}",Eligible,False,"High-tier buying authority (Director/C-Suite), High profile completeness",None
MP00000000000013,Leah,Shields,Director of Cybersecurity,0.0,20.0,14.8,2.35,37.15,43.06,Cold,Low,"{""engagement"": 0.0, ""recency"": 20.0, ""profile"": 14.8, ""account"": 2.35}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account, High profile completeness",High automation inflation (DQ-8: >70% sends)
MP00000000000014,Amanda,Webb,Information Security Manager,14.67,23.0,9.43,6.38,53.48,72.46,Monitor,Medium,"{""engagement"": 14.67, ""recency"": 23.0, ""profile"": 9.43, ""account"": 6.38}",Eligible,False,"High interaction volume (3+ responses), Attended premium Event campaign, Hot recency: engaged within past 7 days","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000015,Larry,Byrd,Director of Cybersecurity,0.0,0.0,10.23,1.08,11.31,13.77,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 10.23, ""account"": 1.08}",Eligible,False,High profile completeness,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000016,Rachel,Clark,,9.0,12.0,19.43,6.7,47.13,62.19,Monitor,Medium,"{""engagement"": 9.0, ""recency"": 12.0, ""profile"": 19.43, ""account"": 6.7}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",Data gap: missing title field
MP00000000000017,Veronica,Bowman,SecOps Manager,4.0,6.0,16.8,3.87,30.67,32.21,Cold,Low,"{""engagement"": 4.0, ""recency"": 6.0, ""profile"": 16.8, ""account"": 3.87}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strategic Named Account profile match, High profile completeness",High automation inflation (DQ-8: >70% sends)
MP00000000000018,Brandy,Dominguez,Security Analyst,19.0,6.0,15.6,3.44,44.04,56.48,Monitor,Medium,"{""engagement"": 19.0, ""recency"": 6.0, ""profile"": 15.6, ""account"": 3.44}",Blocked,True,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",None
MP00000000000019,Tina,Herrera,Information Security Manager,0.0,0.0,12.0,0.97,12.97,16.1,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 12.0, ""account"": 0.97}",Eligible,False,High profile completeness,"Zero response history (passive sends only), Individual contributor profile (low decision influence)"
MP00000000000020,Jessica,Sheppard,CISO,4.0,20.0,17.6,3.65,45.25,59.28,Monitor,Medium,"{""engagement"": 4.0, ""recency"": 20.0, ""profile"": 17.6, ""account"": 3.65}",Eligible,False,"Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account",High automation inflation (DQ-8: >70% sends)
MP00000000000021,Rodney,Hill,Chief Information Security Officer,0.0,0.0,11.43,5.49,16.92,20.19,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 11.43, ""account"": 5.49}",Eligible,False,"Strong buying-committee activity at account, High profile completeness","Zero response history (passive sends only), Individual contributor profile (low decision influence)"
MP00000000000022,Emily,Nicholson,Director of Cybersecurity,27.67,25.0,10.23,2.11,65.01,89.61,Warm,High,"{""engagement"": 27.67, ""recency"": 25.0, ""profile"": 10.23, ""account"": 2.11}",Eligible,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, High profile completeness","Individual contributor profile (low decision influence), Data quality risk: duplicate email address"
MP00000000000023,Joseph,Brennan,SecOps Manager,22.0,17.0,7.43,5.19,51.62,70.36,Monitor,Medium,"{""engagement"": 22.0, ""recency"": 17.0, ""profile"": 7.43, ""account"": 5.19}",Eligible,False,High profile completeness,None
MP00000000000024,James,Moran,,15.0,20.0,15.03,5.07,55.1,76.31,Monitor,Medium,"{""engagement"": 15.0, ""recency"": 20.0, ""profile"": 15.03, ""account"": 5.07}",Eligible,False,"Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account",Data gap: missing title field
MP00000000000025,John,Gonzales,Cyber Security Manager,18.0,25.0,14.0,3.22,60.22,83.55,Warm,High,"{""engagement"": 18.0, ""recency"": 25.0, ""profile"": 14.0, ""account"": 3.22}",Eligible,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Data quality risk: duplicate email address"
MP00000000000026,Christopher,Williams,SecOps Manager,0.0,0.0,16.8,1.0,17.8,20.89,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 16.8, ""account"": 1.0}",Eligible,False,"High-tier buying authority (Director/C-Suite), High profile completeness","Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends)"
MP00000000000027,Shawn,Mckay,Director Security Operations,40.33,23.0,14.4,4.08,81.81,99.65,Hot,Very High,"{""engagement"": 40.33, ""recency"": 23.0, ""profile"": 14.4, ""account"": 4.08}",Eligible,False,"High interaction volume (3+ responses), Attended premium Event campaign, Hot recency: engaged within past 7 days",Data quality risk: duplicate email address
MP00000000000028,Nicholas,Galloway,,12.0,25.0,8.46,1.33,46.79,61.84,Monitor,Medium,"{""engagement"": 12.0, ""recency"": 25.0, ""profile"": 8.46, ""account"": 1.33}",Eligible,False,"Attended premium Event campaign, Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite)","High automation inflation (DQ-8: >70% sends), Data gap: missing title field"
MP00000000000029,Andrew,Hickman,Partner Alliance Manager,0.0,0.0,2.86,2.22,5.08,4.08,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 2.86, ""account"": 2.22}",Eligible,False,None,"Zero response history (passive sends only), Individual contributor profile (low decision influence)"
MP00000000000030,Bradley,Hall,Director Security Operations,37.4,20.0,2.86,6.43,66.69,91.72,Warm,High,"{""engagement"": 37.4, ""recency"": 20.0, ""profile"": 2.86, ""account"": 6.43}",Blocked,True,"High interaction volume (3+ responses), Strong buying-committee activity at account","Individual contributor profile (low decision influence), Data quality risk: duplicate email address"
MP00000000000031,Meghan,Davis,SOC Analyst,15.0,12.0,15.6,3.32,45.92,60.56,Monitor,Medium,"{""engagement"": 15.0, ""recency"": 12.0, ""profile"": 15.6, ""account"": 3.32}",Blocked,True,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",None
MP00000000000032,Caleb,Johns,Cyber Security Manager,12.67,23.0,12.8,1.75,50.22,68.14,Monitor,Medium,"{""engagement"": 12.67, ""recency"": 23.0, ""profile"": 12.8, ""account"": 1.75}",Eligible,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, High profile completeness","High automation inflation (DQ-8: >70% sends), Data quality risk: duplicate email address"
MP00000000000033,Matthew,Moore,Director of Information Security,20.0,6.0,10.23,5.16,41.39,52.16,Monitor,Medium,"{""engagement"": 20.0, ""recency"": 6.0, ""profile"": 10.23, ""account"": 5.16}",Blocked,True,"Attended premium Event campaign, High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account",None
MP00000000000034,Richard,Oliver,,0.0,0.0,15.03,2.05,17.08,20.3,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 15.03, ""account"": 2.05}",Eligible,False,"High-tier buying authority (Director/C-Suite), High profile completeness","Zero response history (passive sends only), Data gap: missing title field"
MP00000000000035,Joseph,Davidson,,10.0,6.0,7.43,1.84,25.27,25.32,Cold,Low,"{""engagement"": 10.0, ""recency"": 6.0, ""profile"": 7.43, ""account"": 1.84}",Eligible,False,"Attended premium Event campaign, High profile completeness","High automation inflation (DQ-8: >70% sends), Data gap: missing title field"
MP00000000000036,Tiffany,Warren,,19.0,12.0,18.23,3.76,52.99,71.65,Monitor,Medium,"{""engagement"": 19.0, ""recency"": 12.0, ""profile"": 18.23, ""account"": 3.76}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",Data gap: missing title field
MP00000000000037,Isaac,Steele,Chief Security Officer,4.0,20.0,11.43,4.89,40.32,48.77,Monitor,Medium,"{""engagement"": 4.0, ""recency"": 20.0, ""profile"": 11.43, ""account"": 4.89}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account, High profile completeness","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data quality risk: duplicate email address"
MP00000000000038,Reginald,Robinson,,0.0,0.0,4.86,2.59,7.45,7.0,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 4.86, ""account"": 2.59}",Eligible,False,Strong buying-committee activity at account,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000039,Michael,Jones,,30.0,25.0,11.43,2.92,69.35,92.77,Warm,High,"{""engagement"": 30.0, ""recency"": 25.0, ""profile"": 11.43, ""account"": 2.92}",Blocked,True,"Attended premium Event campaign, Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite)",Data gap: missing title field
MP00000000000040,Anthony,Day,Senior SOC Analyst,0.0,0.0,12.8,0.96,13.76,17.62,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 12.8, ""account"": 0.96}",Eligible,False,High profile completeness,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends)"
MP00000000000041,Gregory,Rubio,Threat Analyst,10.0,6.0,4.86,0.0,20.86,22.75,Cold,Low,"{""engagement"": 10.0, ""recency"": 6.0, ""profile"": 4.86, ""account"": 0.0}",Eligible,False,Attended premium Event campaign,"High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing account linkage (orphan)"
MP00000000000042,Lisa,Adams,SecOps Manager,15.0,12.0,15.6,3.16,45.76,59.98,Monitor,Medium,"{""engagement"": 15.0, ""recency"": 12.0, ""profile"": 15.6, ""account"": 3.16}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",None
MP00000000000043,Chelsea,Johnson,,12.0,25.0,10.86,4.01,51.87,70.71,Monitor,Medium,"{""engagement"": 12.0, ""recency"": 25.0, ""profile"": 10.86, ""account"": 4.01}",Restricted,False,"Attended premium Event campaign, Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000044,Susan,Cowan,,0.0,0.0,8.46,4.32,12.78,15.64,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 8.46, ""account"": 4.32}",Eligible,False,High-tier buying authority (Director/C-Suite),"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Data gap: missing title field"
MP00000000000045,Laura,Perez,Cybersecurity Manager,9.0,20.0,7.43,4.63,41.06,50.88,Monitor,Medium,"{""engagement"": 9.0, ""recency"": 20.0, ""profile"": 7.43, ""account"": 4.63}",Eligible,False,"Hot recency: engaged within past 7 days, Strategic Named Account profile match, Strong buying-committee activity at account",High automation inflation (DQ-8: >70% sends)
MP00000000000046,Vincent,White,,19.0,6.0,2.29,2.54,29.83,30.46,Cold,Low,"{""engagement"": 19.0, ""recency"": 6.0, ""profile"": 2.29, ""account"": 2.54}",Eligible,False,Strong buying-committee activity at account,"Individual contributor profile (low decision influence), Data gap: missing title field"
