contact_id,account_id,email,first_name,last_name,title,contact_status,job_persona,job_level,mql_date,mkto_contact_score,has_lead_origin,primary_lead_id,no_longer_with_company,has_opted_out
003NbrnTP3fAbnFbmO,001ZEOQpY7NEkXkSE4,george.broken@megaenterprise.com,George,Broken,Director of Cybersecurity,Active,Security Leadership,Director,2026-04-15 14:22:00,75,True,00QgMXAdx9G81aSQHq,False,False
003UQSyPx3BpdbIKaR,001NbrnTP3fAbnFbmO,security@highintent.com,Donald,Garcia,Security Operations Manager,Disqualified,Security Management,,2026-01-21 09:10:08,58,True,00QVHWGaub52Ztd26f,False,False
003Br1VjArnVgxwvqc,0014vvVSNQLlpIn8sr,info@megacorp.com,Jose,Mason,,Stale,,,2026-05-23 07:39:08,0,True,00Qh8l7qgATtLFxJpR,False,False
003mREpOaUVgAk7Gdp,001kWCRNYdWCscmc5F,info@megacorp.com,Natasha,Decker,Senior Security Analyst,Active,Security Operations,,2026-05-30 20:37:08,35,True,00QrAJOCBnD3XkfFNu,False,False
003BDsyqHBL3TLboP1,0014HZKjht3X13npgW,info@partnerconsulting.com,Shelly,Hudson,,Active,Partner / Channel,Manager,2026-03-31 04:50:08,0,True,00QjzQDcrr1eoqXKXm,False,False
003u8zF9OHzlwUMVmI,001MPMDEaIaGr8bYPX,security@wheelerharveyandbarnes.com,Brandy,Mills,,Active,Security Leadership,,2026-05-30 20:37:08,62,True,00QVYJVkGBr9BY8Dzt,False,False
003sM2wleOV911xCZk,001xG7YXipN2Ig00rV,anthony.rogers@nelsongroup.com,Anthony,Rogers,Security Operations Manager,Active,,Manager,2026-05-10 18:21:08,73,True,00QuXMZ5f0pKGytvuk,False,False
003PhRfINuhR694fPF,001Wz5FYrsK9EjHvIH,elijah.martinez@combsplc.com,Elijah,Martinez,Cyber Security Manager,Nurture,,,,62,True,00QcR9GLw4yWQdNuuI,False,False
003PRQeNHpCq5QnuVd,001VHWGaub52Ztd26f,stacy.miller@hayneshillandsmith.com,Stacy,Miller,Cyber Security Manager,Stale,Security Management,,2025-12-08 16:57:08,0,True,00QGF9IyDN8pbWvTMV,False,False
003rMMfNKKkM3u5c1f,001r4Eh0C3BfQ0tveH,christopher.wright@shepherd.com,Christopher,Wright,,Stale,Security Management,,2026-05-30 20:25:08,84,True,00QhteCGhZIKViF1ZG,True,False
003zZ5cZWlU2rcsL5u,001CtlRJoWcURYxPY8,christopher.gay@pierce-tran.com,Christopher,Gay,Information Security Manager,Active,Security Management,,2026-04-02 04:50:08,65,True,00Qod4noguDQi78jO2,False,False
003zrIKTkQIcvNxGRz,0017KUSyekoZy3uUi9,brandon.flynn@bensoninc.com,Brandon,Flynn,Information Security Manager,Disqualified,Security Management,Manager,2026-03-30 18:55:08,65,True,00Q63oeKBP2pcBHUWi,False,False
003YPX4gfjlGYqyxzJ,0010pKGytvukFhF4vT,john.campos@phamrobinsonandlee.com,John,Campos,Information Security Analyst,Nurture,Security Operations,Individual Contributor,2026-03-21 11:19:08,41,True,00QNdc06PVz0oRaFxM,False,False
003mQiOj5qOpx4kysR,001CtlRJoWcURYxPY8,roger.lawson@williamsmillerandramos.com,Roger,Lawson,VP Cybersecurity,Active,Security Executive,,2026-04-20 12:08:08,94,True,00Q0f8NR0Xy8ZEurHi,False,False
0033Wd9GV98gOqY4d9,001zCN2fFr6w6uaVTT,john.gonzales@partnerconsulting.com,John,Gonzales,Cyber Security Manager,Active,Security Management,Manager,2026-05-30 20:37:08,71,True,00QcMpszIdrim2GNXX,False,False
003WW122qOJDkyMQyy,001ReIdHFJjuGhmKfF,susan.reid@short-garcia.com,Susan,Reid,,Active,,VP,2026-01-05 01:38:08,90,True,00QeQmYjKtTYfII1G4,False,False
003y4CqpIqK3yn9Ffc,001zNmREpOaUVgAk7G,stacy.miller@hayneshillandsmith.com,Stacy,Miller,Information Security Director,Active,Security Leadership,Director,2026-05-02 10:00:08,78,True,00QXeRzWGJk2mdcdwm,False,False
003qVkVEVfMNz7xcmx,001pCLxb0lnXv2Rra6,audrey.harrison@vendorsystems.com,Audrey,Harrison,IT Security Manager,Active,Security Management,Manager,,84,True,00QdNJMDmhQGz1j9v9,False,False
003MRz3FMrWELWZ8wz,001YRsMfihslQFzixl,chelsea.singh@branchtorresandoliver.com,Chelsea,Singh,IT Security Manager,Active,,Manager,2026-02-28 03:31:08,72,True,00QTKkwOc2pHd9PObQ,False,False
