lead_id,email,first_name,last_name,title,company,job_persona,job_level,lead_status,lead_source,has_opted_out,email_bounced,mkto_lead_score,is_converted,converted_contact_id,phone,industry,true_entry_date,created_date,mql_date
00QNbrnTP3fAbnFbmO,sarah.security@strategiccorp.com,Sarah,Security,VP of Information Security,Strategic Enterprise Corp,Security Executive,VP,SQL,Enterprise Event,False,False,85,False,,555-019-2831,Technology,2026-05-10 14:32:00,2026-05-15 03:00:00,2026-05-12 09:12:00
00QHnKYaXRvj7uff0L,robert.stale@dormantbusiness.com,Robert,Stale,VP Security,Dormant Business Inc,Security Executive,VP,Open,Cold Outreach,False,False,20,False,,555-021-9988,Manufacturing,2025-11-15 09:15:00,2026-05-15 03:00:00,
00QYTH8xIZM1JRcore,alex.analyst@activeoperations.com,Alex,Analyst,SOC Analyst,Active Operations Ltd,Security Operations,Individual Contributor,MQL,Webinar,False,False,70,False,,555-045-6677,Cybersecurity,2026-05-25 16:45:00,2026-05-25 16:45:00,2026-05-26 10:30:00
00QogrNwwmq6OLkTkx,charles.ciso@megaenterprise.com,Charles,Ciso,Chief Information Security Officer,Mega Enterprise Corp,Security Executive,C-Suite,Nurture,Purchased List,False,False,10,False,,555-099-1234,Finance,2026-05-01 08:00:00,2026-05-15 03:00:00,
00Q9NIQ0Wobtqn62tO,craig.competitor@competitorsec.com,Craig,Competitor,Security Research Engineer,Competitor Inc,Non-Prospect,Individual Contributor,Disqualified,Webinar,False,False,5,False,,555-001-9999,Technology,2026-05-28 11:20:00,2026-05-15 03:00:00,
00Qy4CqpIqK3yn9Ffc,fiona.optout@standardbusiness.com,Fiona,Optout,Cybersecurity Manager,Standard Business Inc,Security Management,Manager,Open,Webinar,True,False,65,False,,555-055-7766,Retail,2026-05-29 15:10:00,2026-05-29 15:10:00,
00QgMXAdx9G81aSQHq,george.broken@megaenterprise.com,George,Broken,Director of Cybersecurity,Mega Enterprise Corp,Security Leadership,Director,Converted,Enterprise Event,False,False,75,True,,555-077-4433,Finance,2026-04-12 10:05:00,2026-05-15 03:00:00,2026-04-15 14:22:00
00QNgAC72qFl41sNLj,henry.inflated@standardbusiness.com,Henry,Inflated,SOC Analyst,Standard Business Inc,Security Operations,Individual Contributor,Open,Cold Outreach,False,False,95,False,,555-088-2211,Education,2026-05-18 13:50:00,2026-05-18 13:50:00,
00QVHWGaub52Ztd26f,security@highintent.com,Donald,Garcia,Security Operations Manager,"Rodriguez, Figueroa and Sanchez",Security Management,,Converted,Referral,False,False,58,True,003UQSyPx3BpdbIKaR,001-581-896-0013x3890,,2026-01-15 01:10:08,2026-05-15 03:00:00,2026-01-21 09:10:08
00QbuFrEHS2JpDzfOv,security@highintent.com,Lisa,Smith,Threat Intelligence Analyst,cole llc,,Individual Contributor,Working,Enterprise Event,False,True,67,False,,(865)342-3511,Technology,2026-04-11 14:03:08,2026-05-15 03:00:00,
00Qrp5B1Id9Z850kEn,security@highintent.com,Lindsay,Blair,Security Analyst,Abbott-Munoz,Security Operations,,Open,Webinar,False,False,35,False,,+1-516-318-4959,Cybersecurity,2026-01-07 22:52:08,2026-01-07 22:52:08,
00QndTdtdD5GdF0ee1,security@highintent.com,Tracie,Wyatt,Information Security Analyst,Stanley,,Individual Contributor,Open,Webinar,False,False,43,False,,664-375-2553,Cybersecurity,2026-03-25 13:55:08,2026-05-15 03:00:00,
00QyPstUeC99enq522,security@highintent.com,Steven,Nelson,Director of Cybersecurity,"Reid, Ferguson and Sanchez  ",Security Leadership,,Open,Webinar,False,False,79,False,,+1-783-550-3056x4139,Cybersecurity,2025-12-11 03:18:08,2026-05-15 03:00:00,
00Q2q3UjrnvQ0Fp4dN,security@highintent.com,Douglas,Taylor,Director of Information Security,"porter, wilkerson and day",,Director,Working,Direct Inbound,False,True,84,False,,001-388-249-6965x3287,Cybersecurity,2026-05-28 17:33:08,2026-05-15 03:00:00,
00QjcwIAcw58cwQPvI,info@megacorp.com,Laura,Henderson,Director of Cybersecurity,Hernandez and Sons,Security Leadership,,Nurture,Direct Inbound,False,False,88,False,,,Technology,2026-04-14 20:38:08,2026-05-15 03:00:00,
00QX1YqWg21nYCsXob,info@megacorp.com,Wendy,Rice,,Cruz PLC,,,Nurture,Paid Search,False,False,-4,False,,+1-401-984-5146,Education,2026-02-16 22:44:08,2026-05-15 03:00:00,
00Qh8l7qgATtLFxJpR,info@megacorp.com,Jose,Mason,,Mckay Ltd,,,Converted,Executive Dinner,False,False,,True,,(481)248-9325,Technology,2026-05-12 22:39:08,2026-05-12 22:39:08,2026-05-23 07:39:08
00QrAJOCBnD3XkfFNu,info@megacorp.com,Natasha,Decker,Senior Security Analyst,"Nguyen, Smith and Hickman",Security Operations,Individual Contributor,Converted,Webinar,False,False,35,True,003mREpOaUVgAk7Gdp,,Cybersecurity,2026-05-12 06:11:08,2026-05-15 03:00:00,2026-05-30 20:37:08
00QXP9K63LSFZH3UDq,info@megacorp.com,Ashley,Miller,,Allen-Allen,Security Operations,,Nurture,Paid Search,False,False,62,False,,001-571-582-2782x4896,,2026-03-18 13:20:08,2026-05-15 03:00:00,
00QejxjnzuCdZyV6b2,info@megacorp.com,Samuel,Holmes,Developer,"collins, carney and santos",Non-Prospect,,Disqualified,Direct Inbound,True,False,-7,False,,533-215-0983,Technology,2026-01-11 00:40:08,2026-01-11 00:40:08,
00QBbuQzkChMbyIbNi,sales@zimmerman.com,Jeremy,Whitehead,Director of Information Security,Zimmerman,Security Leadership,Director,MQL,Executive Dinner,False,False,77,False,,818-534-7382x99737,Cybersecurity,2026-02-12 11:44:08,2026-02-12 11:44:08,
00Q9vOWOU6mbjhPInR,security@davisgroup.com,Michael,Jenkins,Information Security Manager,Davis Group,,,MQL,Paid Search,True,False,51,False,,,Cybersecurity,2026-03-12 01:54:08,2026-03-12 01:54:08,2026-03-24 07:54:08
00QKZpRsQXXJcHPeOa,info@brownvaldezandlucas.com,Bruce,Chandler,IT Security Manager,"BROWN, VALDEZ AND LUCAS",,,Open,Paid Search,False,False,77,False,,633-938-7262,Finance,2026-01-17 00:20:08,2026-05-15 03:00:00,
00QWCZKtp5rBUJPuEu,security@baxterinc.com,Scott,Callahan,SOC Analyst,Baxter Inc,,,SQL,Webinar,False,False,47,False,,+1-910-980-1326,,2026-04-12 18:22:08,2026-05-15 03:00:00,2026-04-26 01:22:08
00QDSBbszpPwIv9IvC,sales@hancock.com,Franklin,Smith,,Hancock,Security Operations,,Working,Enterprise Event,False,False,36,False,,(247)746-8723x4309,Technology,2026-04-11 13:50:08,2026-05-15 03:00:00,
00Q8GrgmolaHr8IRh1,security@williamsgroup.com,Wesley,Farrell,Security Operations Manager,Williams Group,Security Management,Manager,Working,Enterprise Event,True,False,67,False,,,Finance,2026-05-14 08:06:08,2026-05-15 03:00:00,
00QdjIs9hVLXnGBB19,sales@brownplc.com,Christopher,Lopez,,Brown PLC,,,Nurture,Webinar,False,False,50,False,,,Finance,2025-12-12 18:27:08,2026-05-15 03:00:00,
00QjzQDcrr1eoqXKXm,info@partnerconsulting.com,Shelly,Hudson,,"Jones, Hensley and Powell",Partner / Channel,Manager,Converted,Webinar,False,False,,True,003BDsyqHBL3TLboP1,,,2026-03-13 00:50:08,2026-05-15 03:00:00,2026-03-31 04:50:08
00QVYJVkGBr9BY8Dzt,security@wheelerharveyandbarnes.com,Brandy,Mills,,"Wheeler, Harvey and Barnes",Security Leadership,,Converted,Paid Search,False,False,62,True,003u8zF9OHzlwUMVmI,935-334-6247x510,Cybersecurity,2026-05-21 06:32:08,2026-05-15 03:00:00,2026-05-30 20:37:08
00QRh8LojIIf94ChZE,security@medinaplc.com,Joseph,Mahoney,SecOps Manager,Medina PLC,Security Management,Manager,MQL,Referral,False,False,77,False,,235-642-7849,,2026-04-12 01:05:08,2026-05-15 03:00:00,2026-04-16 02:05:08
00Qz5FYrsK9EjHvIHC,sales@garciahumphreyandbaker.com,Pamela,Newton,,"Garcia, Humphrey and Baker",Security Management,Manager,Working,Paid Search,False,False,55,False,,(944)693-5348,,2026-01-28 21:39:08,2026-05-15 03:00:00,
00QPY8EcFK12BGCSzO,security@davisgroup.com,Maria,Williams,,Davis Group,Security Operations,,Working,Webinar,False,True,42,False,,724-427-8680x11280,Technology,2026-01-14 08:17:08,2026-05-15 03:00:00,
00QEHMoQrof8VRgksb,sales@anderson-parker.com,Rachel,Flynn,,anderson-parker,Security Leadership,Director,Open,Webinar,False,False,58,False,,4535315869,Technology,2026-04-14 15:26:08,2026-05-15 03:00:00,
00QMo4iCppaX3QjBvK,sales@vendorsystems.com,Nicole,Johnson,Sales Engineer,Cherry and Sons,Non-Prospect,Manager,Disqualified,Cold Outreach,False,False,7,False,,001-756-634-2160x7337,Finance,2026-05-03 13:13:08,2026-05-15 03:00:00,
00Q9s8OrJQUdLE4rXL,info@walkerltd.com,James,Murphy,Threat Intelligence Analyst,Walker Ltd,,,Working,Referral,False,False,59,False,,645-486-8501,,2026-05-05 23:56:08,2026-05-05 23:56:08,
00Qcwi4uzmW2wFqk46,sales@estesbakerandrodriguez.com,Ryan,Chandler,VP Cybersecurity,"Estes, Baker and Rodriguez",Security Executive,,MQL,Executive Dinner,False,False,92,False,,,Finance,2025-12-07 20:54:08,2026-05-15 03:00:00,2025-12-20 08:54:08
00QyqhwUqxNxPDM6uL,security@graham-joyce.com,Darrell,Lam,Information Security Director,Graham-Joyce,Security Leadership,Director,Working,Paid Search,False,False,63,False,,840.360.8835,Cybersecurity,2026-01-24 17:31:08,2026-05-15 03:00:00,
00Qyx6RHKT2OZM6rQn,sales@outlook.com,David,Mccullough,Information Security Manager,"Mccall, Hanson and Alvarado",Security Management,,Open,Referral,False,True,69,False,,646.856.4823x66299,,2026-04-29 06:32:08,2026-05-15 03:00:00,
00QLbWphJeVmn1uj3a,sales@basstorresandclark.com,Kristi,Lawson,Information Security Manager,"Bass, Torres and Clark",,Manager,MQL,Enterprise Event,False,False,71,False,,577-673-8721x48951,,2026-02-28 13:00:08,2026-05-15 03:00:00,2026-03-10 13:00:08
00QTGUDWFgF6cW1GC7,info@drakeandsons.com,Andrew,Sanchez,,Drake and Sons,,Individual Contributor,Working,Direct Inbound,False,False,60,False,,391.876.9367x6320,,2026-05-10 09:59:08,2026-05-15 03:00:00,
00QMKSxLsFAXhO2I1A,april.williams@thompsonltd.com,April,Williams,Information Security Director,Thompson Ltd,Security Leadership,Director,Open,Enterprise Event,False,False,71,False,,917.827.8895,Finance,2026-02-24 15:54:08,2026-05-15 03:00:00,
00QZffTYIKIuhvPU1S,shannon.walton@partnerconsulting.com,Shannon,Walton,Security Consultant,"Griffin, Moore and Hensley",Partner / Channel,Manager,Working,Direct Inbound,False,False,24,False,,,Manufacturing,2026-05-03 08:43:08,2026-05-15 03:00:00,
00QroAIVMPILOQbqV5,john.gonzales@partnerconsulting.com,John,Gonzales,Partner Alliance Manager,"Ramirez, Strickland and Washington",Partner / Channel,Manager,Working,Cold Outreach,False,False,35,False,,,Technology,2026-05-23 17:50:08,2026-05-23 17:50:08,
00QCjtu6K2jUdfBALz,amber.taylor@mitchellnelsonandflores.com,Amber,Taylor,,"Mitchell, Nelson and Flores",Security Management,,Working,Direct Inbound,False,False,61,False,,962.831.6658,Finance,2026-03-13 19:23:08,2026-03-13 19:23:08,
00QasnipuaUkxRFZXe,perry.carrillo@clarkgroup.com,Perry,Carrillo,Security Analyst,Clark Group  ,Security Operations,Individual Contributor,Working,Webinar,False,False,,False,,001-509-967-0546x688,Cybersecurity,2025-12-18 07:19:08,2026-05-15 03:00:00,
00QuXMZ5f0pKGytvuk,anthony.rogers@nelsongroup.com,Anthony,Rogers,Security Operations Manager,Nelson Group,,Manager,Converted,Direct Inbound,False,True,73,True,,+1-462-972-9806x99016,Technology,2026-05-04 16:21:08,2026-05-15 03:00:00,2026-05-10 18:21:08
00QBsrdFtCdZe11MFC,mark.gibson@williamsgroup.com,Mark,Gibson,Threat Intelligence Analyst,Williams Group,,,MQL,Webinar,False,True,45,False,,264-564-1708x05310,Cybersecurity,2026-05-15 06:31:08,2026-05-15 03:00:00,2026-05-25 17:31:08
00QcR9GLw4yWQdNuuI,elijah.martinez@combsplc.com,Elijah,Martinez,Cyber Security Manager,Combs PLC,,,Converted,Webinar,False,False,62,True,003PhRfINuhR694fPF,+1-219-637-4529x91241,Finance,2026-04-24 09:18:08,2026-05-15 03:00:00,
00Q6vVl9jsWFHTGP2M,jennifer.jones@byrdrubioandsanders.com,Jennifer,Jones,Information Security Manager,"Byrd, Rubio and Sanders",,,SQL,Paid Search,False,False,88,False,,,Cybersecurity,2026-02-14 08:54:08,2026-02-14 08:54:08,2026-02-21 15:54:08
00QWoo7W4mQJBVWFzk,kevin.sutton@rivassanchezandterry.com,Kevin,Sutton,,"Rivas, Sanchez and Terry",Security Operations,Individual Contributor,Open,Webinar,False,False,67,False,,790-258-6518,Technology,2026-01-18 17:19:08,2026-05-15 03:00:00,
00QBFZf4Y25zyxxfnt,susan.reid@short-garcia.com,Susan,Reid,,Short-Garcia,Security Management,Manager,MQL,Direct Inbound,False,False,55,False,,626.728.4987x769,Technology,2026-04-24 22:07:08,2026-04-24 22:07:08,
00QpZITGgrscAXCg4K,joshua.hayes@rivasinc.com,Joshua,Hayes,,Rivas Inc,Security Operations,Individual Contributor,MQL,Cold Outreach,False,False,31,False,,001-779-696-5075x27354,Cybersecurity,2026-02-13 14:55:08,2026-05-15 03:00:00,2026-02-15 22:55:08
00QGF9IyDN8pbWvTMV,stacy.miller@hayneshillandsmith.com,Stacy,Miller,Cyber Security Manager,"HAYNES, HILL AND SMITH",Security Management,,Converted,Enterprise Event,False,False,N/A,True,,001-567-683-7770x1436,Cybersecurity,2025-12-03 04:57:08,2025-12-03 04:57:08,2025-12-08 16:57:08
00QOqXByB7vlQwXqfA,ronald.reese@perkinskennedyandschmidt.com,Ronald,Reese,Senior Security Analyst,"Perkins, Kennedy and Schmidt",Security Operations,,Open,Webinar,False,False,68,False,,557-944-4313x51823,Cybersecurity,2026-02-10 14:53:08,2026-05-15 03:00:00,
00QT4MANXdPzFUjb0Q,alicia.campbell@hardy-bray.com,Alicia,Campbell,Vice President Security,hardy-bray,Security Executive,VP,SQL,Executive Dinner,False,False,71,False,,434-635-2408,Cybersecurity,2025-12-08 06:14:08,2026-05-15 03:00:00,2025-12-19 13:14:08
00QGyOphTExIqqB9r4,kelly.raymond@gmail.com,Kelly,Raymond,Security Analyst,MCCANN PLC,,Individual Contributor,Nurture,Webinar,False,False,49,False,,,Finance,2026-03-09 23:15:08,2026-05-15 03:00:00,
00QssjRRkwn9XoEwJC,audrey.harrison@vendorsystems.com,Audrey,Harrison,Recruiter,"Oneill, Henry and Salas",Non-Prospect,Manager,Disqualified,Cold Outreach,False,False,-6,False,,252.404.7116x719,Education,2026-01-16 06:48:08,2026-05-15 03:00:00,
00QhteCGhZIKViF1ZG,christopher.wright@shepherd.com,Christopher,Wright,,Shepherd,Security Management,,Converted,Paid Search,False,False,84,True,003rMMfNKKkM3u5c1f,+1-969-699-3867,Finance,2026-05-10 12:25:08,2026-05-15 03:00:00,2026-05-30 20:25:08
00QqnJMb3HNspYzCQj,chelsea.singh@branchtorresandoliver.com,Chelsea,Singh,Cyber Security Analyst,"Branch, Torres and Oliver",Security Operations,,SQL,Webinar,False,False,25,False,,001-933-641-2328x12067,Cybersecurity,2026-02-17 15:49:08,2026-05-15 03:00:00,2026-02-28 23:49:08
00QCqpgrxMp1juJtVE,justin.heath@hallltd.com,Justin,Heath,Cyber Security Analyst,Hall Ltd,Security Operations,Individual Contributor,MQL,Paid Search,False,False,47,False,,434-693-6183,Cybersecurity,2026-01-01 09:34:08,2026-05-15 03:00:00,2026-01-02 13:34:08
00QODH0A2TVwyJmIeF,laura.larson@jonesandsons.com,Laura,Larson,Chief Security Officer,Jones and Sons,,C-Suite,Working,Paid Search,False,False,98,False,,,Cybersecurity,2026-03-05 03:14:08,2026-05-15 03:00:00,
00QFFciuDCLFuMk9Ts,kevin.powell@morsegonzalesandharrison.com,Kevin,Powell,,"Morse, Gonzales and Harrison",,VP,Open,Paid Search,False,False,89,False,,288-377-1906x594,Finance,2025-12-09 17:11:08,2026-05-15 03:00:00,
